id;nome;cnpj;data
1;indigo Usability National;47991;2020-11-16T07:26:09
2;withdrawal Tuna Norwegian Krone;48516;2020-11-16T05:51:28
3;auxiliary redundant;64964;2020-11-15T14:07:34
4;transform optimize;9526;2020-11-16T04:23:27
5;auxiliary;66327;2020-11-16T07:28:31
6;Tasty Plastic Fish optimal invoice;42502;2020-11-16T03:09:11
7;Checking Account;92965;2020-11-16T13:27:45
8;violet quantify strategic;82294;2020-11-16T13:44:31
9;Avon French Polynesia;47687;2020-11-16T04:05:22
10;24/7;19799;2020-11-15T16:11:00
