id;valor;data;descricao;tipo_movimento
1;22693;2020-11-15T14:13:31;Senior reintermediate Integrated;ENTRADA
2;46993;2020-11-16T11:04:11;Factors;ENTRADA
3;56013;2020-11-15T23:34:00;quantify Mali Phased;ENTRADA
4;18979;2020-11-16T00:02:06;Awesome SMTP Usability;ENTRADA
5;24540;2020-11-16T09:27:19;Internal grey Brunei Darussalam;ENTRADA
6;31066;2020-11-15T16:07:01;redundant Common Solutions;SAIDA
7;57061;2020-11-16T07:12:43;Shirt Money Market Account Towels;ENTRADA
8;75213;2020-11-15T16:12:12;Saint Lucia hack;SAIDA
9;30055;2020-11-15T22:26:53;interfaces protocol;ENTRADA
10;56217;2020-11-16T03:18:19;monitoring;SAIDA
